[[
[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7], 
[7, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 4, 7], 
[7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 4, 7], 
[7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7], 
[7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7], 
[7, 6, 6, 6, 6, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 7], 
[7, 6, 6, 6, 6, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7], 
[7, 6, 6, 6, 4, 4, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7], 
[7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 2, 6, 6, 6, 6, 6, 6, 6, 4, 4, 6, 6, 7], 
[7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 2, 7, 2, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 7], 
[7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 7, 7, 7, 2, 6, 6, 4, 6, 6, 6, 6, 6, 6, 7], 
[7, 6, 6, 6, 6, 6, 6, 6, 6, 2, 7, 7, 7, 7, 7, 2, 6, 6, 6, 6, 6, 6, 6, 6, 7], 
[7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 7, 7, 7, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7], 
[7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 7, 2, 6, 6, 6, 6, 6, 2, 6, 6, 4, 6, 7], 
[7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 4, 6, 6, 6, 4, 6, 7], 
[7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7], 
[7, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 6, 7], 
[7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7], 
[7, 6, 6, 6, 6, 6, 6, 6, 4, 4, 4, 6, 3, 3, 3, 4, 6, 4, 6, 6, 6, 6, 6, 6, 7], 
[7, 6, 6, 6, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 6, 6, 6, 6, 7], 
[7, 6, 6, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 6, 6, 6, 7], 
[7, 6, 6, 6, 4, 3, 3, 3, 4, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 2, 4, 2, 7], 
[7, 6, 6, 3, 3, 3, 3, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 3, 3, 2, 2, 7], 
[7, 6, 3, 3, 3, 3, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 4, 2, 2, 2, 7], 
[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] ],[]]
